INFO  - 24-06-17 12:46:02 [__main__       ] Storing train run in /home/fsvanstijn/scratch/deepdynamicmri-mainV3/-133
INFO  - 24-06-17 12:46:02 [__main__       ] lr: 0.001
INFO  - 24-06-17 12:46:02 [__main__       ] milestones: 3 30 100 180
INFO  - 24-06-17 12:46:02 [__main__       ] gamma: 0.5
INFO  - 24-06-17 12:46:02 [__main__       ] nepoch: 500
INFO  - 24-06-17 12:46:02 [__main__       ] truncate: 4
INFO  - 24-06-17 12:46:02 [__main__       ] print-freq: 1
INFO  - 24-06-17 12:46:02 [__main__       ] checkpoint-freq: 1000
INFO  - 24-06-17 12:46:02 [__main__       ] batch-size: 2
INFO  - 24-06-17 12:46:02 [__main__       ] time-limit: 48
INFO  - 24-06-17 12:46:02 [__main__       ] nfeature: 128
INFO  - 24-06-17 12:46:02 [__main__       ] kernel: 313 None None
INFO  - 24-06-17 12:46:02 [__main__       ] temporal-rnn: on
INFO  - 24-06-17 12:46:02 [__main__       ] ndynamic: 32
INFO  - 24-06-17 12:46:02 [__main__       ] acceleration: 2
INFO  - 24-06-17 12:46:02 [__main__       ] center-scale: 0.015
INFO  - 24-06-17 12:46:02 [__main__       ] crop: 100
INFO  - 24-06-17 12:46:02 [__main__       ] fwhms: 0.6
INFO  - 24-06-17 12:46:02 [__main__       ] partial-fourier: 0.6
INFO  - 24-06-17 12:46:02 [__main__       ] autocast: off
INFO  - 24-06-17 12:46:02 [__main__       ] independent-sample-dims: auto
INFO  - 24-06-17 12:46:02 [__main__       ] fourier-dim: -1
INFO  - 24-06-17 12:46:02 [__main__       ] volume-slices: 
INFO  - 24-06-17 12:46:02 [__main__       ] bin-slices: 
INFO  - 24-06-17 12:46:02 [__main__       ] train-dir: /home/fsvanstijn/scratch/deepdynamicmri-mainV3/-133
INFO  - 24-06-17 12:46:02 [__main__       ] niteration: 8
INFO  - 24-06-17 12:46:02 [__main__       ] data-dir: /home/fsvanstijn/scratch/Rat/Control/Targets/
INFO  - 24-06-17 12:46:02 [__main__       ] undersampled_data_dir: /home/fsvanstijn/scratch/Rat/Control/Undersampled_15/
INFO  - 24-06-17 12:46:02 [__main__       ] num-workers: 3
INFO  - 24-06-17 12:46:02 [__main__       ] device: cuda
INFO  - 24-06-17 12:46:02 [LatticeRecurrentUnit] LatticeRecurrentUnit with temporal convolutionsinitialized with input size 128, hidden size 128, containing 590720 parameters.
INFO  - 24-06-17 12:46:02 [LatticeRecurrentUnit] LatticeRecurrentUnit with temporal convolutionsinitialized with input size 128, hidden size 128, containing 590720 parameters.
INFO  - 24-06-17 12:46:02 [RecurrentInferenceMachine] Initialized a recurrent inference machine of 1336066 parameters. Convolutional blocks are conv_in: Sequential(
  (0): CyclicPad1d: (1, 1, 0, 0, 0, 0)
  (1): ReplicationPad3d((1, 1, 0, 0, 0, 0))
  (2): Conv3d(4, 128, kernel_size=(3, 1, 3), stride=(1, 1, 1))
  (3): ReLU(inplace=True)
), conv_between: Sequential(
  (0): CyclicPad1d: (1, 1, 0, 0, 0, 0)
  (1): ReplicationPad3d((1, 1, 0, 0, 0, 0))
  (2): Conv3d(128, 128, kernel_size=(3, 1, 3), stride=(1, 1, 1))
  (3): ReLU(inplace=True)
), and conv_out: Sequential(
  (0): CyclicPad1d: (1, 1, 0, 0, 0, 0)
  (1): ReplicationPad3d((1, 1, 0, 0, 0, 0))
  (2): Conv3d(128, 2, kernel_size=(3, 1, 3), stride=(1, 1, 1))
).
INFO  - 24-06-17 12:46:02 [InitRim        ] InitRim initialized, containing 203872 parameters.
INFO  - 24-06-17 12:46:10 [data_sampler   ] Subjects included in training:
INFO  - 24-06-17 12:46:10 [data_sampler   ] retroData_1_15_23582_000_0_f99.mat
INFO  - 24-06-17 12:46:12 [data_sampler   ] retroData_1_15_23588_000_0_f99.mat
INFO  - 24-06-17 12:46:13 [data_sampler   ] retroData_1_15_23594_000_0_f99.mat
INFO  - 24-06-17 12:46:15 [data_sampler   ] retroData_1_15_22555_000_0_f99.mat
INFO  - 24-06-17 12:46:17 [data_sampler   ] retroData_1_15_22561_000_0_f97.mat
INFO  - 24-06-17 12:46:18 [data_sampler   ] retroData_1_15_22567_000_0_f97.mat
INFO  - 24-06-17 12:46:20 [data_sampler   ] retroData_1_15_22790_000_0_f99.mat
INFO  - 24-06-17 12:46:21 [data_sampler   ] retroData_1_15_22801_000_0_f99.mat
INFO  - 24-06-17 12:46:23 [data_sampler   ] retroData_1_15_22816_000_0_f96.mat
INFO  - 24-06-17 12:46:24 [data_sampler   ] retroData_1_15_22875_000_0_f99.mat
INFO  - 24-06-17 12:46:26 [data_sampler   ] Finished pre-processing subjects.
INFO  - 24-06-17 12:50:14 [train          ] Starting training...
INFO  - 24-06-17 12:50:18 [train          ] [1,       1] train loss: 1.533268e+01.
INFO  - 24-06-17 12:50:19 [train          ] [1,       2] train loss: 4.360698e+01.
INFO  - 24-06-17 12:50:21 [train          ] [1,       3] train loss: 9.491965e+00.
INFO  - 24-06-17 12:50:22 [train          ] [1,       4] train loss: 7.467418e+00.
INFO  - 24-06-17 12:50:23 [train          ] [1,       5] train loss: 1.145206e+01.
INFO  - 24-06-17 12:50:25 [train          ] [1,       6] train loss: 4.428335e+00.
INFO  - 24-06-17 12:50:26 [train          ] [1,       7] train loss: 3.902560e+00.
INFO  - 24-06-17 12:50:27 [train          ] [1,       8] train loss: 2.846145e+00.
INFO  - 24-06-17 12:50:29 [train          ] [1,       9] train loss: 3.143892e+00.
INFO  - 24-06-17 12:50:30 [train          ] [1,      10] train loss: 3.744632e+00.
INFO  - 24-06-17 12:50:31 [train          ] [1,      11] train loss: 3.263416e+00.
INFO  - 24-06-17 12:50:33 [train          ] [1,      12] train loss: 3.698646e+00.
INFO  - 24-06-17 12:50:34 [train          ] [1,      13] train loss: 2.443570e+00.
INFO  - 24-06-17 12:50:35 [train          ] [1,      14] train loss: 2.502476e+00.
INFO  - 24-06-17 12:50:37 [train          ] [1,      15] train loss: 3.131080e+00.
INFO  - 24-06-17 12:50:38 [train          ] [1,      16] train loss: 3.763256e+00.
INFO  - 24-06-17 12:50:39 [train          ] [1,      17] train loss: 1.062531e+00.
INFO  - 24-06-17 12:50:41 [train          ] [1,      18] train loss: 8.963631e-01.
INFO  - 24-06-17 12:50:42 [train          ] [1,      19] train loss: 1.629287e+00.
INFO  - 24-06-17 12:50:43 [train          ] [1,      20] train loss: 1.985169e+00.
INFO  - 24-06-17 12:50:45 [train          ] [1,      21] train loss: 1.208161e+00.
INFO  - 24-06-17 12:50:46 [train          ] [1,      22] train loss: 1.005363e+00.
INFO  - 24-06-17 12:50:47 [train          ] [1,      23] train loss: 2.245222e+00.
INFO  - 24-06-17 12:50:48 [train          ] [1,      24] train loss: 1.063302e+00.
INFO  - 24-06-17 12:50:49 [train          ] [1,      25] train loss: 1.796827e+00.
INFO  - 24-06-17 12:50:51 [train          ] [1,      26] train loss: 1.179231e+00.
INFO  - 24-06-17 12:50:52 [train          ] [1,      27] train loss: 2.194083e+00.
INFO  - 24-06-17 12:50:54 [train          ] [1,      28] train loss: 1.395396e+00.
INFO  - 24-06-17 12:50:55 [train          ] [1,      29] train loss: 1.580155e+00.
INFO  - 24-06-17 12:50:56 [train          ] [1,      30] train loss: 1.578216e+00.
INFO  - 24-06-17 12:50:58 [train          ] [1,      31] train loss: 1.532610e+00.
INFO  - 24-06-17 12:50:59 [train          ] [1,      32] train loss: 1.999240e+00.
INFO  - 24-06-17 12:51:00 [train          ] [1,      33] train loss: 1.196799e+00.
INFO  - 24-06-17 12:51:02 [train          ] [1,      34] train loss: 1.406897e+00.
INFO  - 24-06-17 12:51:03 [train          ] [1,      35] train loss: 2.120470e+00.
INFO  - 24-06-17 12:51:04 [train          ] [1,      36] train loss: 2.185746e+00.
INFO  - 24-06-17 12:51:06 [train          ] [1,      37] train loss: 6.523631e-01.
INFO  - 24-06-17 12:51:07 [train          ] [1,      38] train loss: 1.930705e+00.
INFO  - 24-06-17 12:51:08 [train          ] [1,      39] train loss: 9.953207e-01.
INFO  - 24-06-17 12:51:10 [train          ] [1,      40] train loss: 1.022700e+00.
INFO  - 24-06-17 12:51:11 [train          ] [1,      41] train loss: 8.825746e-01.
INFO  - 24-06-17 12:51:12 [train          ] [1,      42] train loss: 1.146402e+00.
INFO  - 24-06-17 12:51:14 [train          ] [1,      43] train loss: 6.554540e-01.
INFO  - 24-06-17 12:51:15 [train          ] [1,      44] train loss: 7.777763e-01.
INFO  - 24-06-17 12:51:16 [train          ] [1,      45] train loss: 9.986899e-01.
INFO  - 24-06-17 12:51:18 [train          ] [1,      46] train loss: 1.237221e+00.
INFO  - 24-06-17 12:51:19 [train          ] [1,      47] train loss: 1.568624e+00.
INFO  - 24-06-17 12:51:20 [train          ] [1,      48] train loss: 1.231732e+00.
INFO  - 24-06-17 12:51:21 [train          ] [1,      49] train loss: 2.439923e+00.
INFO  - 24-06-17 12:51:22 [train          ] [1,      50] train loss: 6.127744e-01.
INFO  - 24-06-17 12:51:23 [train          ] [1,      51] train loss: 9.000838e-01.
INFO  - 24-06-17 12:51:25 [train          ] [1,      52] train loss: 9.554171e-01.
INFO  - 24-06-17 12:51:27 [train          ] [1,      53] train loss: 1.094610e+00.
INFO  - 24-06-17 12:51:28 [train          ] [1,      54] train loss: 1.603402e+00.
INFO  - 24-06-17 12:51:29 [train          ] [1,      55] train loss: 7.670929e-01.
