INFO  - 24-07-25 00:39:10 [__main__       ] Storing train run in /home/fsvanstijn/scratch/deepdynamicmri-mainV3/-139
INFO  - 24-07-25 00:39:10 [__main__       ] lr: 0.001
INFO  - 24-07-25 00:39:10 [__main__       ] milestones: 3 30 100 180
INFO  - 24-07-25 00:39:10 [__main__       ] gamma: 0.5
INFO  - 24-07-25 00:39:10 [__main__       ] nepoch: 500
INFO  - 24-07-25 00:39:10 [__main__       ] truncate: 4
INFO  - 24-07-25 00:39:10 [__main__       ] print-freq: 1
INFO  - 24-07-25 00:39:10 [__main__       ] checkpoint-freq: 1000
INFO  - 24-07-25 00:39:10 [__main__       ] batch-size: 2
INFO  - 24-07-25 00:39:10 [__main__       ] time-limit: 48
INFO  - 24-07-25 00:39:10 [__main__       ] nfeature: 128
INFO  - 24-07-25 00:39:10 [__main__       ] kernel: 313 None None
INFO  - 24-07-25 00:39:10 [__main__       ] temporal-rnn: on
INFO  - 24-07-25 00:39:10 [__main__       ] ndynamic: 32
INFO  - 24-07-25 00:39:10 [__main__       ] acceleration: 2
INFO  - 24-07-25 00:39:10 [__main__       ] center-scale: 0.015
INFO  - 24-07-25 00:39:10 [__main__       ] crop: 100
INFO  - 24-07-25 00:39:10 [__main__       ] fwhms: 0.6
INFO  - 24-07-25 00:39:10 [__main__       ] partial-fourier: 0.6
INFO  - 24-07-25 00:39:10 [__main__       ] autocast: off
INFO  - 24-07-25 00:39:10 [__main__       ] independent-sample-dims: auto
INFO  - 24-07-25 00:39:10 [__main__       ] fourier-dim: -1
INFO  - 24-07-25 00:39:10 [__main__       ] volume-slices: 
INFO  - 24-07-25 00:39:10 [__main__       ] bin-slices: 
INFO  - 24-07-25 00:39:10 [__main__       ] train-dir: /home/fsvanstijn/scratch/deepdynamicmri-mainV3/-139
INFO  - 24-07-25 00:39:10 [__main__       ] niteration: 8
INFO  - 24-07-25 00:39:10 [__main__       ] data-dir: /home/fsvanstijn/scratch/Rat/Control/Targets/
INFO  - 24-07-25 00:39:10 [__main__       ] undersampled_data_dir: /home/fsvanstijn/scratch/Rat/Control/Undersampled_15/
INFO  - 24-07-25 00:39:10 [__main__       ] num-workers: 3
INFO  - 24-07-25 00:39:10 [__main__       ] device: cuda
INFO  - 24-07-25 00:39:10 [LatticeRecurrentUnit] LatticeRecurrentUnit with temporal convolutionsinitialized with input size 128, hidden size 128, containing 590720 parameters.
INFO  - 24-07-25 00:39:10 [LatticeRecurrentUnit] LatticeRecurrentUnit with temporal convolutionsinitialized with input size 128, hidden size 128, containing 590720 parameters.
INFO  - 24-07-25 00:39:10 [RecurrentInferenceMachine] Initialized a recurrent inference machine of 1336066 parameters. Convolutional blocks are conv_in: Sequential(
  (0): CyclicPad1d: (1, 1, 0, 0, 0, 0)
  (1): ReplicationPad3d((1, 1, 0, 0, 0, 0))
  (2): Conv3d(4, 128, kernel_size=(3, 1, 3), stride=(1, 1, 1))
  (3): ReLU(inplace=True)
), conv_between: Sequential(
  (0): CyclicPad1d: (1, 1, 0, 0, 0, 0)
  (1): ReplicationPad3d((1, 1, 0, 0, 0, 0))
  (2): Conv3d(128, 128, kernel_size=(3, 1, 3), stride=(1, 1, 1))
  (3): ReLU(inplace=True)
), and conv_out: Sequential(
  (0): CyclicPad1d: (1, 1, 0, 0, 0, 0)
  (1): ReplicationPad3d((1, 1, 0, 0, 0, 0))
  (2): Conv3d(128, 2, kernel_size=(3, 1, 3), stride=(1, 1, 1))
).
INFO  - 24-07-25 00:39:10 [InitRim        ] InitRim initialized, containing 203872 parameters.
INFO  - 24-07-25 00:39:13 [data_sampler   ] Subjects included in training:
INFO  - 24-07-25 00:39:13 [data_sampler   ] retroData_1_15_23582_000_0_f99.mat
INFO  - 24-07-25 00:39:15 [data_sampler   ] retroData_1_15_23588_000_0_f99.mat
INFO  - 24-07-25 00:39:16 [data_sampler   ] retroData_1_15_23594_000_0_f99.mat
INFO  - 24-07-25 00:39:18 [data_sampler   ] retroData_1_15_22555_000_0_f99.mat
INFO  - 24-07-25 00:39:19 [data_sampler   ] retroData_1_15_22561_000_0_f97.mat
INFO  - 24-07-25 00:39:21 [data_sampler   ] retroData_1_15_22567_000_0_f97.mat
INFO  - 24-07-25 00:39:22 [data_sampler   ] retroData_1_15_22790_000_0_f99.mat
INFO  - 24-07-25 00:39:23 [data_sampler   ] retroData_1_15_22801_000_0_f99.mat
INFO  - 24-07-25 00:39:25 [data_sampler   ] retroData_1_15_22816_000_0_f96.mat
INFO  - 24-07-25 00:39:26 [data_sampler   ] retroData_1_15_22875_000_0_f99.mat
INFO  - 24-07-25 00:39:28 [data_sampler   ] retroData_1_15_22883_000_0_f99.mat
INFO  - 24-07-25 00:39:29 [data_sampler   ] retroData_1_15_22889_000_0_f99.mat
INFO  - 24-07-25 00:39:31 [data_sampler   ] Finished pre-processing subjects.
INFO  - 24-07-25 00:49:40 [train          ] Starting training...
INFO  - 24-07-25 00:49:43 [train          ] [1,       1] train loss: 2.096092e+01.
INFO  - 24-07-25 00:49:44 [train          ] [1,       2] train loss: 4.751682e+01.
INFO  - 24-07-25 00:49:45 [train          ] [1,       3] train loss: 1.056663e+01.
INFO  - 24-07-25 00:49:46 [train          ] [1,       4] train loss: 5.654589e+00.
INFO  - 24-07-25 00:49:47 [train          ] [1,       5] train loss: 6.173957e+00.
INFO  - 24-07-25 00:49:48 [train          ] [1,       6] train loss: 3.416267e+00.
INFO  - 24-07-25 00:49:48 [train          ] [1,       7] train loss: 4.572842e+00.
INFO  - 24-07-25 00:49:49 [train          ] [1,       8] train loss: 4.582772e+00.
INFO  - 24-07-25 00:49:50 [train          ] [1,       9] train loss: 4.602891e+00.
INFO  - 24-07-25 00:49:51 [train          ] [1,      10] train loss: 4.096836e+00.
INFO  - 24-07-25 00:49:52 [train          ] [1,      11] train loss: 2.933977e+00.
INFO  - 24-07-25 00:49:53 [train          ] [1,      12] train loss: 2.519175e+00.
INFO  - 24-07-25 00:49:54 [train          ] [1,      13] train loss: 2.842808e+00.
INFO  - 24-07-25 00:49:54 [train          ] [1,      14] train loss: 2.652246e+00.
INFO  - 24-07-25 00:49:55 [train          ] [1,      15] train loss: 3.565315e+00.
INFO  - 24-07-25 00:49:56 [train          ] [1,      16] train loss: 2.760464e+00.
INFO  - 24-07-25 00:49:57 [train          ] [1,      17] train loss: 2.285360e+00.
INFO  - 24-07-25 00:49:58 [train          ] [1,      18] train loss: 2.072858e+00.
INFO  - 24-07-25 00:49:59 [train          ] [1,      19] train loss: 4.479477e+00.
INFO  - 24-07-25 00:49:59 [train          ] [1,      20] train loss: 2.325459e+00.
INFO  - 24-07-25 00:50:00 [train          ] [1,      21] train loss: 1.777481e+00.
INFO  - 24-07-25 00:50:01 [train          ] [1,      22] train loss: 1.317247e+00.
INFO  - 24-07-25 00:50:02 [train          ] [1,      23] train loss: 2.169513e+00.
INFO  - 24-07-25 00:50:03 [train          ] [1,      24] train loss: 2.520335e+00.
INFO  - 24-07-25 00:50:04 [train          ] [1,      25] train loss: 1.846462e+00.
INFO  - 24-07-25 00:50:05 [train          ] [1,      26] train loss: 2.155717e+00.
INFO  - 24-07-25 00:50:05 [train          ] [1,      27] train loss: 2.003983e+00.
INFO  - 24-07-25 00:50:06 [train          ] [1,      28] train loss: 1.725861e+00.
INFO  - 24-07-25 00:50:07 [train          ] [1,      29] train loss: 1.621529e+00.
INFO  - 24-07-25 00:50:08 [train          ] [1,      30] train loss: 1.620770e+00.
INFO  - 24-07-25 00:50:09 [train          ] [1,      31] train loss: 9.258707e-01.
INFO  - 24-07-25 00:50:10 [train          ] [1,      32] train loss: 1.373931e+00.
INFO  - 24-07-25 00:50:11 [train          ] [1,      33] train loss: 1.050486e+00.
INFO  - 24-07-25 00:50:11 [train          ] [1,      34] train loss: 1.339168e+00.
INFO  - 24-07-25 00:50:12 [train          ] [1,      35] train loss: 1.444374e+00.
INFO  - 24-07-25 00:50:13 [train          ] [1,      36] train loss: 1.062662e+00.
INFO  - 24-07-25 00:50:14 [train          ] [1,      37] train loss: 1.260761e+00.
INFO  - 24-07-25 00:50:15 [train          ] [1,      38] train loss: 1.829708e+00.
INFO  - 24-07-25 00:50:16 [train          ] [1,      39] train loss: 2.086747e+00.
INFO  - 24-07-25 00:50:16 [train          ] [1,      40] train loss: 1.816110e+00.
INFO  - 24-07-25 00:50:17 [train          ] [1,      41] train loss: 1.183515e+00.
INFO  - 24-07-25 00:50:18 [train          ] [1,      42] train loss: 1.477441e+00.
INFO  - 24-07-25 00:50:19 [train          ] [1,      43] train loss: 1.022026e+00.
INFO  - 24-07-25 00:50:20 [train          ] [1,      44] train loss: 1.573827e+00.
INFO  - 24-07-25 00:50:21 [train          ] [1,      45] train loss: 1.543089e+00.
INFO  - 24-07-25 00:50:22 [train          ] [1,      46] train loss: 1.021574e+00.
INFO  - 24-07-25 00:50:22 [train          ] [1,      47] train loss: 1.152275e+00.
INFO  - 24-07-25 00:50:23 [train          ] [1,      48] train loss: 1.268532e+00.
INFO  - 24-07-25 00:50:24 [train          ] [1,      49] train loss: 1.901605e+00.
INFO  - 24-07-25 00:50:25 [train          ] [1,      50] train loss: 2.102591e+00.
INFO  - 24-07-25 00:50:26 [train          ] [1,      51] train loss: 7.072822e-01.
INFO  - 24-07-25 00:50:27 [train          ] [1,      52] train loss: 8.788064e-01.
INFO  - 24-07-25 00:50:27 [train          ] [1,      53] train loss: 1.320099e+00.
INFO  - 24-07-25 00:50:28 [train          ] [1,      54] train loss: 8.245487e-01.
INFO  - 24-07-25 00:50:29 [train          ] [1,      55] train loss: 1.231254e+00.
INFO  - 24-07-25 00:50:30 [train          ] [1,      56] train loss: 6.972235e-01.
INFO  - 24-07-25 00:50:31 [train          ] [1,      57] train loss: 1.252878e+00.
